Theme,Secondary Theme,Sectors,Subsectors,Activity,Activity Examples,Activity Type,Adaptation Likelihood,"Maladaptation or
Significant Harm Risk","Maladaptation or
Significant Harm Criteria",Cities Relevance,Gender Relevance,Mitigation Co-Benefit,Mitigation Co-Benefit Type,Heat Stress,Cold Stress,Water Stress,Storm Conditions,Flooding,Mass Movement,Wildfire Conditions,Marine Conditions,Commercial Banks,Asset Managers,PE & VC,SMEs,Pension Funds,International Insurers,Multinational Corporations,Domestic Corporations,Households & Consumers
Water and Sanitation,Infrastructure,WASH Services,Water Supply,Alternative Water Sources,"fog harvesting, atmospheric water generators (awgs), iceberg towing, solar still, dew collection, ice and snow harvesting",Product or Service,Medium,Yes,5[SH]: Inhibiting Climate Change Mitigation,No,No,No,Not Applicable,,,X,,,,,,X,,X,X,,,X,X,
Water and Sanitation,Infrastructure,WASH Services,Water Supply,Artificial Water Storage,"water tanks, underground cisterns, water banks",Product or Service,Medium,No,Not Applicable,No,Yes,No,Not Applicable,,,X,,,,,,X,,X,X,,,,X,X
Water and Sanitation,Infrastructure,WASH Services,Water Supply,Desalination,"reverse osmosis systems, vapor-compression desalination",Product or Service,High,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,No,No,Not Applicable,,,X,,,,,,X,X,X,X,X,X,X,X,X
Water and Sanitation,Infrastructure,WASH Services,Water Supply,Water Harvesting ,"rooftop rainwater harvesting, courtyard rainwater harvesting, terrace rainwater harvesting, rainwater harvesting ponds, rainwater harvesting trenches",Product or Service,Medium,No,Not Applicable,No,Yes,No,Not Applicable,,,X,,,,X,,X,,X,X,,,X,X,X
Water and Sanitation,Infrastructure,WASH Services,Water Supply,Water Supply Management and Monitoring,"reservoir and dam operations management, water distribution system leak detection and repair programs, interbasin water transfer schemes",Product or Service,Medium,No,Not Applicable,Yes,No,No,Not Applicable,,,X,,,,X,,,,X,X,,X,X,X,X
Water and Sanitation,Infrastructure,Water Hazards,Drought Management,Drought Forecasting Systems,"hydrological drought forecasting models, seasonal climate prediction models, integrated drought forecasting platforms",Intelligence,High,No,Not Applicable,No,No,No,Not Applicable,,,X,,,,,,X,,X,X,,X,X,X,
Water and Sanitation,Industry and Commerce,Water Hazards,Drought Management,Drought Insurance,"municipal drought insurance, business interruption insurance for drought, drought index insurance for utilities",Enabling Activity,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,No ,Not Applicable,,,X,,,,,,,,,,,X,,,X
Water and Sanitation,Social Systems,Water Hazards,Drought Management,Nonstructural Drought Management,"drought contingency planning, public awareness and education campaigns on drought, demand management and rationing, drought financial support mechanisms",Enabling Activity,Medium,No,Not Applicable,No,No,No,Not Applicable,,,X,,,,,,,,,,,,,,X
Water and Sanitation,Infrastructure,Water Hazards,Flood Management,Flood Forecasting Systems,"river level monitoring and forecasting systems, rainfall monitoring and precipitation forecasting, remote sensing and satellite imagery analysis of precipitation patterns, flood inundation mapping and modeling systems",Intelligence,High,No,Not Applicable,Yes,No,No,Not Applicable,,,,,X,,,,,,X,X,,X,X,X,
Water and Sanitation,Industry and Commerce,Water Hazards,Flood Management,Flood Insurance,"national flood insurance program (nfip) policies, private market flood insurance, excess flood insurance, residential building and contents coverage for flood insurance",Enabling Activity,High,Yes,4[M]: Inhibiting Necessary Change,Yes,No,No ,Not Applicable,,,,,X,,,,,,,,,X,,,
Water and Sanitation,Infrastructure,Water Hazards,Flood Management,Flood Management Infrastructure,"coastal flood protection structures, flood acceptance structures, flood barrier structures, flood containment structures, flood discharge structures, breakwaters, quays, seawalls, groynes, revetments, dikes, levees",Product or Service,High,No,Not Applicable,Yes,No,Yes,Avoided Emissions,,,,,X,,,,X,X,X,X,X,X,X,X,X
Water and Sanitation,Social Systems,Water Hazards,Flood Management,Nonstructural Flood Management Measures,"building codes and standards for flood-resilient construction, public incentive programs for flood risk reduction including behavioral interventions",Enabling Activity,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,,,,,X,,,,X,,,,,,,,X
Water and Sanitation,Infrastructure,Water Hazards,General Water Hazard Management,Flood and Drought Early Warning and Alert Systems,"community-based early warning systems, drought monitoring indices (e.g., flash flood guidance systems",Intelligence,High,No,Not Applicable,Yes,No,No,Not Applicable,,,,,X,,,,X,,X,X,,X,X,X,X
Water and Sanitation,Infrastructure,Water Hazards,General Water Hazard Management,Water Quality Monitoring,"tracking PH levels in freshwater sources for drinking water, real-time monitoring of water temperature fluctuations, monitoring nutrient loading (nitrogen and phosphorus), salinity monitoring in coastal and estuarine areas, monitoring cyanobacteria and algal blooms in drinking water systems",Intelligence,Medium,No,Not Applicable,No,No,No,Not Applicable,X,,X,X,X,X,X,,,,X,X,,X,X,X,X
